cond_1	cond_2	time	mean_crossval_score	metric
1_item/short	1_item/long	-2.84	0.4444444444444445	roc_auc
1_item/short	1_item/long	-2.83	0.7777777777777779	roc_auc
1_item/short	1_item/long	-2.82	0.5555555555555556	roc_auc
1_item/short	1_item/long	-2.81	0.8888888888888888	roc_auc
1_item/short	1_item/long	-2.8	0.5555555555555556	roc_auc
1_item/short	1_item/long	-2.79	0.38888888888888895	roc_auc
1_item/short	1_item/long	-2.78	0.7222222222222223	roc_auc
1_item/short	1_item/long	-2.77	0.7222222222222223	roc_auc
1_item/short	1_item/long	-2.76	0.5	roc_auc
1_item/short	1_item/long	-2.75	0.22222222222222224	roc_auc
1_item/short	1_item/long	-2.74	0.5	roc_auc
1_item/short	1_item/long	-2.73	0.6111111111111112	roc_auc
1_item/short	1_item/long	-2.72	0.7222222222222223	roc_auc
1_item/short	1_item/long	-2.71	0.6666666666666667	roc_auc
1_item/short	1_item/long	-2.7	0.5	roc_auc
1_item/short	1_item/long	-2.69	0.2777777777777778	roc_auc
1_item/short	1_item/long	-2.68	0.16666666666666669	roc_auc
1_item/short	1_item/long	-2.67	0.888888888888889	roc_auc
1_item/short	1_item/long	-2.66	0.8333333333333333	roc_auc
1_item/short	1_item/long	-2.65	0.22222222222222224	roc_auc
1_item/short	1_item/long	-2.64	0.22222222222222224	roc_auc
1_item/short	1_item/long	-2.63	0.8333333333333335	roc_auc
1_item/short	1_item/long	-2.62	0.888888888888889	roc_auc
1_item/short	1_item/long	-2.61	0.0	roc_auc
1_item/short	1_item/long	-2.6	0.6666666666666666	roc_auc
1_item/short	1_item/long	-2.59	0.16666666666666669	roc_auc
1_item/short	1_item/long	-2.58	0.0	roc_auc
1_item/short	1_item/long	-2.57	0.8333333333333334	roc_auc
1_item/short	1_item/long	-2.56	0.5555555555555556	roc_auc
1_item/short	1_item/long	-2.55	0.2777777777777778	roc_auc
1_item/short	1_item/long	-2.54	0.2777777777777778	roc_auc
1_item/short	1_item/long	-2.53	0.7222222222222223	roc_auc
1_item/short	1_item/long	-2.52	0.5	roc_auc
1_item/short	1_item/long	-2.51	0.5	roc_auc
1_item/short	1_item/long	-2.5	0.2777777777777778	roc_auc
1_item/short	1_item/long	-2.49	1.0	roc_auc
1_item/short	1_item/long	-2.48	0.888888888888889	roc_auc
1_item/short	1_item/long	-2.47	0.6666666666666667	roc_auc
1_item/short	1_item/long	-2.46	0.9444444444444444	roc_auc
1_item/short	1_item/long	-2.45	0.5	roc_auc
1_item/short	1_item/long	-2.44	0.5	roc_auc
1_item/short	1_item/long	-2.43	0.5555555555555556	roc_auc
1_item/short	1_item/long	-2.42	0.8333333333333334	roc_auc
1_item/short	1_item/long	-2.41	0.7222222222222223	roc_auc
1_item/short	1_item/long	-2.4	0.22222222222222224	roc_auc
1_item/short	1_item/long	-2.39	0.6111111111111112	roc_auc
1_item/short	1_item/long	-2.38	0.7777777777777779	roc_auc
1_item/short	1_item/long	-2.37	0.7777777777777779	roc_auc
1_item/short	1_item/long	-2.36	0.9444444444444444	roc_auc
1_item/short	1_item/long	-2.35	1.0	roc_auc
1_item/short	1_item/long	-2.34	0.6111111111111112	roc_auc
